"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест проверяет полный жизненный цикл: сущность создается, затем удаляется, после чего становится недоступной по прямому ID.","5","Полный цикл: создание и последующее удаление сущности","tests","Tue Nov 11 10:14:08 UTC 2025","passed","Tue Nov 11 10:14:08 UTC 2025","TestEntityAPI","test_api","",""
"Тест проверяет, что после создания новой сущности, ее ID появляется в общем списке, получаемом через GET /getAll.","2","Проверка наличия созданной сущности в общем списке","tests","Tue Nov 11 10:14:08 UTC 2025","passed","Tue Nov 11 10:14:08 UTC 2025","TestEntityAPI","test_api","",""
"Тест проверяет, что после удаления сущности, ее ID исчезает из общего списка, получаемого через GET /getAll.","5","Проверка отсутствия удаленной сущности в общем списке","tests","Tue Nov 11 10:14:08 UTC 2025","passed","Tue Nov 11 10:14:08 UTC 2025","TestEntityAPI","test_api","",""
"Тест проверяет, что данные существующей сущности можно обновить через PATCH запрос и изменения корректно сохраняются.","4","Успешное частичное обновление сущности","tests","Tue Nov 11 10:14:08 UTC 2025","passed","Tue Nov 11 10:14:08 UTC 2025","TestEntityAPI","test_api","",""
"Этот тест проверяет, что после создания сущности ее можно успешно получить по ID, и все поля в ответе соответствуют отправленным данным.","2","Успешное получение сущности по ее ID","tests","Tue Nov 11 10:14:08 UTC 2025","passed","Tue Nov 11 10:14:08 UTC 2025","TestEntityAPI","test_api","",""
"Тест проверяет корректную работу фильтрации по точному совпадению заголовка в эндпоинте GET /getAll.","2","Успешная фильтрация списка сущностей по полю 'title'","tests","Tue Nov 11 10:14:08 UTC 2025","passed","Tue Nov 11 10:14:08 UTC 2025","TestEntityAPI","test_api","",""
